source,target,score
891,23544,24.44
891,9420,24.46
891,17823,24.5
891,22645,24.51
891,19192,24.51
891,19846,24.51
891,13204,24.53
891,10773,24.53
891,6604,24.53
891,20521,24.54
891,14916,24.54
891,17451,24.55
891,7702,24.55
891,16691,24.56
891,24504,24.56
891,10011,24.57
891,14505,24.62
891,14411,24.62
891,8631,24.63
891,16199,24.67
891,22718,24.68
891,23460,24.7
891,16492,24.71
891,11964,24.71
891,1708,24.72
894,13450,17.5
894,10615,22.21
894,2539,22.26
894,19833,22.3
894,11558,22.38
894,23151,22.39
894,17938,22.47
894,8631,22.57
894,2165,22.75
894,1463,22.82
894,20211,22.99
894,10093,22.99
894,4977,23.07
894,16492,23.09
894,2840,23.12
894,3252,23.12
894,25812,23.2
894,5559,23.24
894,6018,23.27
894,23994,23.29
894,22941,23.35
894,19098,23.36
894,8084,23.36
894,25716,23.36
894,18314,23.37
894,2156,23.37
894,8828,23.42
894,10011,23.43
894,19436,23.47
894,4681,23.56
894,18655,23.58
894,7933,23.58
894,8161,23.59
894,22363,23.6
894,15641,23.61
894,17630,23.66
894,2104,23.7
894,13843,23.71
894,3334,23.72
894,20647,23.74
894,2535,23.79
894,15267,23.8
894,7191,23.84
894,16384,23.84
894,3948,23.85
894,20649,23.88
894,16455,23.89
894,1907,23.92
894,2985,23.94
894,16496,23.97
894,10952,23.97
894,990,23.98
894,17194,23.98
894,14266,23.99
894,20691,23.99
894,17451,24.01
894,13204,24.02
894,7194,24.02
894,16011,24.03
894,18605,24.06
894,7762,24.06
894,25860,24.07
894,9902,24.08
894,19633,24.09
894,2258,24.11
894,26117,24.15
894,16859,24.17
894,22953,24.18
894,2645,24.21
894,18981,24.21
894,6063,24.24
894,1994,24.24
894,24906,24.25
894,13393,24.27
894,24674,24.28
894,23680,24.29
894,11364,24.31
894,14210,24.34
894,15813,24.4
894,9218,24.41
894,20724,24.42
894,9420,24.42
894,13447,24.43
894,16722,24.45
894,25044,24.45
894,6425,24.48
894,19431,24.49
894,13009,24.52
894,11225,24.52
894,24203,24.52
894,12204,24.55
894,11403,24.55
894,5265,24.56
894,9556,24.56
894,2592,24.57
894,22637,24.58
894,4299,24.59
894,11835,24.59
894,23715,24.6
894,18901,24.6
894,11809,24.61
894,10773,24.61
894,21394,24.63
894,23993,24.66
894,19758,24.66
894,24237,24.67
894,13680,24.68
894,22105,24.69
894,19763,24.69
